antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'spaghetti'}),frozenset({'ground beef'}),0.17411011865084655,0.09825356619117451,0.03919477403012932,0.22511485451761104,2.2911621760333793,1.0,0.022087833962715117,1.1637162475833263,0.6823431228827286,0.16809605488850773,0.1406839922732999,0.31201468641755725
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09825356619117451,0.17411011865084655,0.03919477403012932,0.3989145183175034,2.291162176033379,1.0,0.022087833962715117,1.3739973872558149,0.6249431765609852,0.16809605488850773,0.2721965781920247,0.31201468641755725
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.0658578856152513,0.17411011865084655,0.022930275963204905,0.3481781376518219,1.999758201015556,1.0,0.01146375168463962,1.267048451510813,0.5351857444880701,0.10565110565110565,0.2107641986321737,0.23993899225623253
frozenset({'spaghetti'}),frozenset({'olive oil'}),0.17411011865084655,0.0658578856152513,0.022930275963204905,0.13169984686064318,1.9997582010155557,1.0,0.01146375168463962,1.0758285726512185,0.6053343844435686,0.10565110565110565,0.07048388059107813,0.23993899225623253
frozenset({'soup'}),frozenset({'mineral water'}),0.05052659645380616,0.23836821757099053,0.023063591521130515,0.45646437994722955,1.9149548735929356,1.0,0.01101965678450801,1.4012545900028865,0.5032205021321218,0.08676028084252758,0.2863538095543793,0.2766102660362546
frozenset({'mineral water'}),frozenset({'soup'}),0.23836821757099053,0.05052659645380616,0.023063591521130515,0.09675615212527965,1.9149548735929356,1.0,0.01101965678450801,1.051181700025136,0.6273300220873396,0.08676028084252758,0.048689679456855185,0.2766102660362546
frozenset({'frozen vegetables'}),frozenset({'milk'}),0.09532062391681109,0.12958272230369283,0.023596853752832957,0.24755244755244757,1.9103815937149273,1.0,0.011244947814006083,1.1567813263064306,0.526754984089876,0.11721854304635763,0.13553238001086065,0.21482560649227317
frozenset({'milk'}),frozenset({'frozen vegetables'}),0.12958272230369283,0.09532062391681109,0.023596853752832957,0.1820987654320988,1.9103815937149273,1.0,0.011244947814006083,1.1060985579281253,0.5474895576709907,0.11721854304635763,0.09592143228797127,0.21482560649227317
frozenset({'burgers'}),frozenset({'eggs'}),0.0871883748833489,0.17970937208372217,0.02879616051193174,0.33027522935779813,1.8378297443715457,1.0,0.013127592408644938,1.224817512916086,0.49942391639485245,0.1209406494960806,0.18355184388312104,0.24525630904091686
frozenset({'eggs'}),frozenset({'burgers'}),0.17970937208372217,0.0871883748833489,0.02879616051193174,0.1602373887240356,1.8378297443715457,1.0,0.013127592408644938,1.0869876949268955,0.5557541939794498,0.1209406494960806,0.08002638422944222,0.24525630904091686
frozenset({'olive oil'}),frozenset({'mineral water'}),0.0658578856152513,0.23836821757099053,0.027596320490601255,0.4190283400809717,1.7579035676439423,1.0,0.011897893683499625,1.3109620227175287,0.46153639321341183,0.09975903614457832,0.23720139663003123,0.2674000760807543
frozenset({'mineral water'}),frozenset({'olive oil'}),0.23836821757099053,0.0658578856152513,0.027596320490601255,0.11577181208053693,1.7579035676439423,1.0,0.011897893683499625,1.0564491464389187,0.5660748306050021,0.09975903614457832,0.053432904583431924,0.2674000760807543
frozenset({'tomatoes'}),frozenset({'spaghetti'}),0.06839088121583789,0.17411011865084655,0.020930542594320756,0.3060428849902534,1.7577547322449394,1.0,0.009022998151195267,1.1901165986857183,0.46273958268770116,0.09446450060168471,0.15974619536915105,0.21312864004489698
frozenset({'spaghetti'}),frozenset({'tomatoes'}),0.17411011865084655,0.06839088121583789,0.020930542594320756,0.12021439509954057,1.7577547322449392,1.0,0.009022998151195267,1.0589047076867848,0.5219732370979266,0.09446450060168471,0.05562795902141583,0.21312864004489698
frozenset({'mineral water'}),frozenset({'ground beef'}),0.23836821757099053,0.09825356619117451,0.040927876283162246,0.17170022371364654,1.7475215442008993,1.0,0.01750734884017864,1.0886715892303713,0.5616375247948704,0.13841298467087468,0.08144934625607078,0.2941269096858599
frozenset({'ground beef'}),frozenset({'mineral water'}),0.09825356619117451,0.23836821757099053,0.040927876283162246,0.41655359565807326,1.7475215442008991,1.0,0.01750734884017864,1.305401450349256,0.4743694824294936,0.13841298467087468,0.2339521304098035,0.2941269096858599
frozenset({'ground beef'}),frozenset({'milk'}),0.09825356619117451,0.12958272230369283,0.021997067057725635,0.22388059701492538,1.7277040722314356,1.0,0.009265102474627166,1.121499184724088,0.467090479006505,0.10686528497409327,0.10833640039959494,0.19681684171733924
frozenset({'milk'}),frozenset({'ground beef'}),0.12958272230369283,0.09825356619117451,0.021997067057725635,0.1697530864197531,1.7277040722314354,1.0,0.009265102474627166,1.0861183812418567,0.483902588451524,0.10686528497409327,0.07929005044863512,0.19681684171733924
frozenset({'shrimp'}),frozenset({'spaghetti'}),0.07145713904812692,0.17411011865084655,0.021197173710171976,0.2966417910447761,1.7037596283513519,1.0,0.008755762752052558,1.174209486480494,0.4448504878390153,0.09447415329768272,0.148363208172214,0.20919378985623185
frozenset({'spaghetti'}),frozenset({'shrimp'}),0.17411011865084655,0.07145713904812692,0.021197173710171976,0.1217457886676876,1.7037596283513519,1.0,0.008755762752052558,1.057259787622621,0.5001426388698534,0.09447415329768272,0.054158673481166486,0.20919378985623185
frozenset({'frozen vegetables'}),frozenset({'spaghetti'}),0.09532062391681109,0.17411011865084655,0.027862951606452472,0.29230769230769227,1.678866768759571,1.0,0.011266666466423773,1.1670183106020646,0.44696511393426097,0.11534216335540838,0.1431154156577885,0.2261691600895276
frozenset({'spaghetti'}),frozenset({'frozen vegetables'}),0.17411011865084655,0.09532062391681109,0.027862951606452472,0.16003062787136293,1.678866768759571,1.0,0.011266666466423773,1.0770385279531858,0.4896053693555924,0.11534216335540838,0.07152810781949505,0.2261691600895276
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.0510598586855086,0.23836821757099053,0.020130649246767097,0.3942558746736292,1.6539783646123563,1.0,0.007959601742475753,1.2573490201306492,0.41667240407213124,0.07475247524752475,0.2046758823607374,0.23935388811981237
frozenset({'mineral water'}),frozenset({'cooking oil'}),0.23836821757099053,0.0510598586855086,0.020130649246767097,0.08445190156599552,1.653978364612356,1.0,0.007959601742475753,1.0364721885585282,0.519144787709685,0.07475247524752475,0.03518877685396634,0.23935388811981237
frozenset({'chicken'}),frozenset({'mineral water'}),0.05999200106652446,0.23836821757099053,0.022796960405279298,0.38000000000000006,1.5941722595078303,1.0,0.0084967740425349,1.2284383587564671,0.3965021758765089,0.08272859216255443,0.18595834062664107,0.23781879194630876
frozenset({'mineral water'}),frozenset({'chicken'}),0.23836821757099053,0.05999200106652446,0.022796960405279298,0.09563758389261746,1.5941722595078303,1.0,0.0084967740425349,1.0394151528095574,0.48936405428063434,0.08272859216255443,0.03792051010899498,0.23781879194630876
