antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'ground beef'}),frozenset({'spaghetti'}),0.09826666666666667,0.17413333333333333,0.0392,0.39891451831750335,2.2908567284695827,1.0,0.022088497777777775,1.3739587659894656,0.6248877193935388,0.16809605488850773,0.27217612001635055,0.3120146864175572
frozenset({'spaghetti'}),frozenset({'ground beef'}),0.17413333333333333,0.09826666666666667,0.0392,0.225114854517611,2.2908567284695827,1.0,0.022088497777777775,1.1636993412384715,0.6822918382722801,0.16809605488850773,0.14067150804111825,0.3120146864175572
frozenset({'olive oil'}),frozenset({'spaghetti'}),0.06573333333333334,0.17413333333333333,0.022933333333333333,0.3488843813387424,2.0035473660341254,1.0,0.011486968888888888,1.2683871235721702,0.5361266640336407,0.1057160417947142,0.21159716823386632,0.24029211409969278
frozenset({'spaghetti'}),frozenset({'olive oil'}),0.17413333333333333,0.06573333333333334,0.022933333333333333,0.13169984686064318,2.0035473660341254,1.0,0.011486968888888888,1.0759720164609055,0.6064965345307912,0.1057160417947142,0.07060779955113797,0.24029211409969278
frozenset({'soup'}),frozenset({'mineral water'}),0.05053333333333333,0.23826666666666665,0.023066666666666666,0.45646437994722955,1.9157710406291113,1.0,0.011026257777777777,1.40144142394822,0.5034583861297651,0.0868038133467135,0.28644894969442003,0.27663733826684367
frozenset({'mineral water'}),frozenset({'soup'}),0.23826666666666665,0.05053333333333333,0.023066666666666666,0.09681029658645775,1.915771040629111,1.0,0.011026257777777777,1.0512372573316813,0.6275384504866195,0.0868038133467135,0.04873995568016193,0.27663733826684367
frozenset({'frozen vegetables'}),frozenset({'milk'}),0.09533333333333334,0.1296,0.0236,0.24755244755244754,1.91012691012691,1.0,0.0112448,1.1567583643122676,0.5266852353771405,0.11721854304635763,0.1355152200740436,0.21482560649227317
frozenset({'milk'}),frozenset({'frozen vegetables'}),0.1296,0.09533333333333334,0.0236,0.18209876543209877,1.91012691012691,1.0,0.0112448,1.1060830188679245,0.5474202392821534,0.11721854304635763,0.09590873113349163,0.21482560649227317
frozenset({'burgers'}),frozenset({'eggs'}),0.0872,0.17973333333333333,0.0288,0.3302752293577982,1.837584733073803,1.0,0.013127253333333332,1.2247817351598174,0.49935079689680906,0.1209406494960806,0.18352799417806995,0.2452563090409169
frozenset({'eggs'}),frozenset({'burgers'}),0.17973333333333333,0.0872,0.0288,0.16023738872403562,1.8375847330738029,1.0,0.013127253333333332,1.086973851590106,0.5556819823724894,0.1209406494960806,0.08001466775201097,0.2452563090409169
frozenset({'tomatoes'}),frozenset({'spaghetti'}),0.0684,0.17413333333333333,0.020933333333333335,0.30604288499025345,1.757520396192114,1.0,0.009022613333333335,1.1900831460674157,0.4626626883958289,0.09446450060168472,0.15972257627169856,0.213128640044897
frozenset({'spaghetti'}),frozenset({'tomatoes'}),0.17413333333333333,0.0684,0.020933333333333335,0.12021439509954059,1.7575203961921138,1.0,0.009022613333333335,1.0588943429068756,0.5218960613209004,0.09446450060168472,0.0556187152206318,0.213128640044897
frozenset({'olive oil'}),frozenset({'mineral water'}),0.06573333333333334,0.23826666666666665,0.027466666666666667,0.41784989858012167,1.7537069050648644,1.0,0.011804604444444443,1.3084826945412311,0.46001779080835936,0.09932497589199615,0.23575603699473352,0.2665634495698594
frozenset({'mineral water'}),frozenset({'olive oil'}),0.23826666666666665,0.06573333333333334,0.027466666666666667,0.1152770005595971,1.7537069050648644,1.0,0.011804604444444443,1.0559990723170989,0.5642122632932215,0.09932497589199615,0.05302947112843987,0.2665634495698594
frozenset({'mineral water'}),frozenset({'ground beef'}),0.23826666666666665,0.09826666666666667,0.040933333333333335,0.1717963066592054,1.7482663499919138,1.0,0.017519662222222225,1.088782072072072,0.5618826939644482,0.13847541723049164,0.08154255507083254,0.29417495115863934
frozenset({'ground beef'}),frozenset({'mineral water'}),0.09826666666666667,0.23826666666666665,0.040933333333333335,0.41655359565807326,1.7482663499919135,1.0,0.017519662222222225,1.305575503875969,0.47464672935367336,0.13847541723049164,0.23405425650893566,0.29417495115863934
frozenset({'milk'}),frozenset({'ground beef'}),0.1296,0.09826666666666667,0.022,0.1697530864197531,1.7274737423991156,1.0,0.00926464,1.0861026022304832,0.48382352941176465,0.10686528497409326,0.07927667427889223,0.1968168417173392
frozenset({'ground beef'}),frozenset({'milk'}),0.09826666666666667,0.1296,0.022,0.22388059701492535,1.7274737423991156,1.0,0.00926464,1.121476923076923,0.46701168120656517,0.10686528497409326,0.10831870061457416,0.1968168417173392
frozenset({'spaghetti'}),frozenset({'shrimp'}),0.17413333333333333,0.07133333333333333,0.0212,0.1217457886676876,1.706716663565714,1.0,0.008778488888888889,1.057400755594304,0.501388034271348,0.09453032104637336,0.05428476884532046,0.2094710251749653
frozenset({'shrimp'}),frozenset({'spaghetti'}),0.07133333333333333,0.17413333333333333,0.0212,0.297196261682243,1.706716663565714,1.0,0.008778488888888889,1.1751028368794325,0.4458862145408083,0.09453032104637336,0.14901064943765296,0.2094710251749653
frozenset({'frozen vegetables'}),frozenset({'spaghetti'}),0.09533333333333334,0.17413333333333333,0.027866666666666668,0.2923076923076923,1.6786429496996114,1.0,0.011265955555555554,1.1669855072463768,0.4468836054764767,0.1153421633554084,0.1430913290777676,0.22616916008952764
frozenset({'spaghetti'}),frozenset({'frozen vegetables'}),0.17413333333333333,0.09533333333333334,0.027866666666666668,0.16003062787136293,1.6786429496996111,1.0,0.011265955555555554,1.0770233971437253,0.48952296789762584,0.1153421633554084,0.071515063969819,0.22616916008952764
frozenset({'cooking oil'}),frozenset({'mineral water'}),0.05106666666666667,0.23826666666666665,0.020133333333333333,0.3942558746736292,1.6546833016520532,1.0,0.007965848888888889,1.2575166666666666,0.41694683097182667,0.07478949975235265,0.20478191143921218,0.23937751763899703
frozenset({'mineral water'}),frozenset({'cooking oil'}),0.23826666666666665,0.05106666666666667,0.020133333333333333,0.08449916060436485,1.6546833016520532,1.0,0.007965848888888889,1.0365182559087203,0.519413722392174,0.07478949975235265,0.03523165723376934,0.23937751763899703
frozenset({'chicken'}),frozenset({'mineral water'}),0.06,0.23826666666666665,0.0228,0.38,1.594851706771125,1.0,0.008504000000000003,1.2286021505376346,0.3967898469578202,0.08276863504356244,0.18606686504463504,0.23784555120313375
frozenset({'mineral water'}),frozenset({'chicken'}),0.23826666666666665,0.06,0.0228,0.09569110240626749,1.594851706771125,1.0,0.008504000000000003,1.039467821782178,0.4896496448543029,0.08276863504356244,0.03796925787900798,0.23784555120313375
frozenset({'frozen vegetables'}),frozenset({'mineral water'}),0.09533333333333334,0.23826666666666665,0.03573333333333333,0.3748251748251748,1.5731330784492508,1.0,0.013018577777777776,1.2184325130499627,0.40271835369944675,0.1199641897940913,0.17927337846819727,0.262398597485335
frozenset({'mineral water'}),frozenset({'frozen vegetables'}),0.23826666666666665,0.09533333333333334,0.03573333333333333,0.14997202014549524,1.5731330784492505,1.0,0.013018577777777776,1.06427869212201,0.47828531942075014,0.1199641897940913,0.0603964850539741,0.262398597485335
frozenset({'milk'}),frozenset({'spaghetti'}),0.1296,0.17413333333333333,0.03546666666666667,0.27366255144032925,1.5715690166940808,1.0,0.012898986666666667,1.137028895184136,0.41784608580274213,0.13220675944333996,0.120514875008471,0.23866894800194105
frozenset({'spaghetti'}),frozenset({'milk'}),0.17413333333333333,0.1296,0.03546666666666667,0.20367534456355282,1.5715690166940806,1.0,0.012898986666666667,1.0930215384615385,0.4403776635647887,0.13220675944333996,0.08510494550040536,0.23866894800194105
frozenset({'milk'}),frozenset({'mineral water'}),0.1296,0.23826666666666665,0.048,0.3703703703703704,1.5544363613753656,1.0,0.017120640000000003,1.2098117647058826,0.4097886029411765,0.15006252605252188,0.17342513176575847,0.28591266140230887
frozenset({'mineral water'}),frozenset({'milk'}),0.23826666666666665,0.1296,0.048,0.20145495243424735,1.5544363613753656,1.0,0.017120640000000003,1.0899823405746323,0.46824785576754774,0.15006252605252188,0.0825539435136114,0.28591266140230887
frozenset({'spaghetti'}),frozenset({'pancakes'}),0.17413333333333333,0.09506666666666666,0.0252,0.1447166921898928,1.5222653456159834,1.0,0.008645724444444447,1.0580509698597433,0.41542335730259544,0.10327868852459017,0.05486594834598439,0.20489691551991135
